Date,BTC_Open,BTC_Close,BTC_High,BTC_Low,F&G,Fear & Greed Classification
2025-06-10,109301,109649,109793,109121,71,Greed
2025-06-09,105624,107646,107658,105617,62,Greed
2025-06-08,105471,105662,105662,105112,62,Greed
2025-06-07,104933,105189,105266,104836,52,Neutral
2025-06-06,103193,103978,103978,103193,45,Fear
2025-06-05,104539,104849,104906,104539,57,Greed
2025-06-04,105407,105295,105910,105293,62,Greed
2025-06-03,105236,105291,105347,104982,64,Greed
2025-06-02,105369,104147,105666,104147,64,Greed
2025-06-01,104314,104129,104383,103939,56,Greed
2025-05-31,103763,103503,103778,103398,50,Neutral
2025-05-30,105110,105879,105915,105042,60,Greed
2025-05-29,107918,108781,108851,107896,74,Greed
2025-05-28,108944,108845,109010,108568,71,Greed
2025-05-27,109494,109545,109827,109494,74,Greed
2025-05-26,110070,109760,110078,109684,73,Greed
2025-05-25,107664,107192,107664,106954,74,Greed
2025-05-24,107864,109310,109401,107804,66,Greed
2025-05-23,110708,110221,111253,110221,78,Extreme Greed
2025-05-22,110993,110839,111075,110419,72,Greed
2025-05-21,106677,106557,106715,106185,70,Greed
2025-05-20,105099,105296,105359,104988,71,Greed
2025-05-19,103124,103012,103260,102928,74,Greed
2025-05-18,103753,103902,104002,103753,74,Greed
2025-05-17,103479,103007,103494,102823,74,Greed
2025-05-16,103754,103682,103870,103300,71,Greed
2025-05-15,101843,102254,102265,101769,70,Greed
2025-05-14,103664,103976,103999,103166,73,Greed
2025-05-13,102755,103696,103757,102651,70,Greed
2025-05-12,104346,103972,104601,103972,71,Greed
2025-05-11,103480,104519,104650,103480,70,Greed
2025-05-10,103786,103479,103938,103449,71,Greed
2025-05-09,103776,103000,103776,102697,73,Greed
2025-05-08,99109,99532,99869,99109,65,Greed
2025-05-07,97000,96888.7,97444.2,96669.6,67,Greed
2025-05-06,93777.5,94512.9,94701.1,93333.5,59,Greed
2025-05-05,93997.9,93723.1,94510,93543.9,52,Neutral
2025-05-04,95379.9,95424,95644.2,95187.5,64,Greed
2025-05-03,95894.6,96362.4,96455,95828.9,65,Greed
2025-05-02,96866.5,97263.1,97868,96574.9,67,Greed
2025-05-01,96138.2,96804.4,97383.1,95772,53,Neutral
2025-04-30,95131.3,93951.1,95174.3,92852.4,56,Greed
2025-04-29,95084.4,94792.7,95266,94466.8,60,Greed
2025-04-28,95274.2,93782.2,95564.8,93524,54,Neutral
2025-04-27,93866,93851.6,94130,93538.4,61,Greed
2025-04-26,94101,94333.6,94363.4,93839.8,65,Greed
2025-04-25,94593.2,95012.8,95724.5,93888.8,60,Greed
2025-04-24,92577.5,93160,93420.3,92388.4,63,Greed
2025-04-23,93426.3,93133,94722.9,91911.8,72,Greed
2025-04-22,88581,90876,91366.9,88440,47,Neutral
2025-04-21,86940.4,87992.1,88442.9,86755.5,39,Fear
2025-04-20,84080.1,84296,84627.6,84054.3,37,Fear
2025-04-19,85194,85150,85644.6,85041.6,32,Fear
2025-04-18,84627.3,84329.4,84725.3,84276.1,33,Fear
2025-04-17,84527.3,84499.4,84831.3,83677.4,30,Fear
2025-04-16,84004.8,84799.9,85225.4,83456.7,29,Fear
2025-04-15,85549.9,84863.3,86444,84560.7,38,Fear
2025-04-14,84890,84064.9,85771.1,83639.4,31,Fear
2025-04-13,84478.5,83801.8,84644.4,83413,45,Fear
2025-04-12,83481.1,84977.5,85386.4,83433.5,43,Fear
2025-04-11,82114.7,82494.8,83333,81315.7,25,Extreme Fear
2025-04-10,81836,78734.1,82491.1,78565.8,39,Fear
2025-04-09,76200.1,77234.7,78300,75982.2,18,Extreme Fear
2025-04-08,79955.8,78456,80350,78128,24,Extreme Fear
2025-04-07,76650,78427.5,81216.8,75739.6,23,Extreme Fear
2025-04-06,82812.5,82507.1,82940,82159.7,34,Fear
2025-04-05,83428,82579.5,83526.6,82343,30,Fear
2025-04-04,82617.9,82813.1,83682,81800,28,Fear
2025-04-03,83061.8,81990.1,83116.1,81146,25,Extreme Fear
2025-04-02,84520,86699.3,87297.1,84403.5,44,Fear
2025-04-01,83895,85250,85468.3,82509.7,34,Fear
2025-03-31,82169.3,83377.8,83895.7,81600,34,Fear
2025-03-30,83073.1,82692.9,83225.4,82513.5,32,Fear
2025-03-29,82245,82370.7,82839.9,82086.9,26,Fear
2025-03-28,85200.9,84006.8,85598.4,83927.2,44,Fear
2025-03-27,86900.1,86914.3,87529.1,85695.4,40,Fear
2025-03-26,87919.5,86686.5,87980,86363.1,47,Neutral
2025-03-25,87333.4,87731.2,88200,86872.8,46,Fear
2025-03-24,87646.6,88283.9,88740,87109.2,45,Fear
2025-03-23,84632.8,85141.5,85230.5,84526.4,30,Fear
2025-03-22,84193.9,84067.1,84259,83932.5,32,Fear
2025-03-21,84001.3,83524.7,84323.5,83136.3,31,Fear
2025-03-20,85450.2,84658.5,86488,84510.4,49,Neutral
2025-03-19,83836.8,84694.6,84850,83483.9,32,Fear
2025-03-18,82546.1,81556,82786.1,81093.6,34,Fear
2025-03-17,83473.9,83497.5,83999.9,82400.7,32,Fear
2025-03-16,82346.6,83273.5,83466.4,82338,30,Fear
2025-03-15,84055.1,84299.5,84429.8,83972.3,46,Fear
2025-03-14,83220.1,84714.7,85299.9,82585.4,27,Fear
2025-03-13,82924.3,80999.9,83838,80905.2,45,Fear
2025-03-12,82989.9,81646.6,84489.8,80534.6,34,Fear
2025-03-11,81685.3,81180.4,82257.4,79000,24,Extreme Fear
2025-03-10,83541.9,80011,83743.8,79120,20,Extreme Fear
2025-03-09,84954.3,83037.3,84997.7,82700,27,Fear
2025-03-08,85923.9,86363.9,86602.7,85775,28,Fear
2025-03-07,88946.6,88439.9,91119,87973.6,34,Fear
2025-03-06,91298.6,90779.9,91427.2,89065.3,25,Extreme Fear
2025-03-05,89776.5,88306.1,90930,87843.3,20,Extreme Fear
2025-03-04,83900,82950,84975.9,81413.7,15,Extreme Fear
2025-03-03,92718.3,90048.6,93697,89130,33,Fear
2025-03-02,86055,87416.7,88703.4,85007.7,26,Fear
2025-03-01,84589.2,84747.7,84908.2,84280,20,Extreme Fear
2025-02-28,80461.9,83952.8,84360,80038.9,16,Extreme Fear
2025-02-27,86650.7,85480,86757.1,84614.3,10,Extreme Fear
2025-02-26,88589.3,87499.9,88665.2,85350,21,Extreme Fear
2025-02-25,89220,87250.1,89519.7,86055.5,25,Extreme Fear
2025-02-24,95837.1,94376.8,96111.6,93816.4,49,Neutral
2025-02-23,96120.5,95446.1,96165,95358.5,50,Neutral
2025-02-22,96594.7,96613.2,97056,96502.5,49,Neutral
2025-02-21,98586.3,98074.8,99454.2,97111,55,Greed
2025-02-20,97163.9,96861,98000,96758,49,Neutral
2025-02-19,96407.9,95904.4,96676.5,95500,44,Fear
2025-02-18,95594.4,95518.1,96730.9,95153,47,Neutral
2025-02-17,96019.8,95613.5,96988.3,95514.7,51,Neutral
2025-02-16,97288.2,96850.1,97288.3,96636,54,Neutral
2025-02-15,97581.6,97599.3,97898.8,97370,50,Neutral
2025-02-14,96843.9,96886.3,97569.9,96200,48,Neutral
2025-02-13,95890,95941.2,96439.5,95250,50,Neutral
2025-02-12,96045.3,95767.2,96600,94001.2,46,Fear
2025-02-11,98092.4,96982,98102.8,96551.3,47,Neutral
2025-02-10,97629.9,97188.9,98343.4,96812.1,43,Fear
2025-02-09,96513.4,96447.5,96657.1,95681,46,Fear
2025-02-08,96080,95802.9,96444,95635.8,44,Fear
2025-02-07,97706,98245.5,100120,97139.1,44,Fear
2025-02-06,98829,97292.6,99000,96880,49,Neutral
2025-02-05,98186.2,98064.2,99170,97700.1,54,Neutral
2025-02-04,98923.4,99310.1,100381.1,98248.5,72,Greed
2025-02-03,95052.3,98804,99468.8,94091,44,Fear
2025-02-02,98824.4,99292.7,99364.6,98100,60,Greed
