Date,Adj Close,Open,High,Low,Vol.,Change %
2025-06-09,392.12,380.68,394.79,377.6,10.92M,4.71%
2025-06-06,374.47,377.4,380.6,369.71,9.38M,1.54%
2025-06-05,368.79,383.85,385.38,364.3,11.96M,-2.46%
2025-06-04,378.1,385.8,386.12,375.66,8.47M,-2.41%
2025-06-03,387.43,379.4,391.01,371.37,11.35M,4.07%
2025-06-02,372.27,367.89,378.43,367.02,8.10M,0.87%
2025-05-30,369.06,369,372.56,359.15,12.56M,-0.42%
2025-05-29,370.63,370.79,373.86,362.74,10.22M,1.75%
2025-05-28,364.25,368.53,370.65,358.5,9.94M,-2.14%
2025-05-27,372.2,381.11,381.3,364.18,14.12M,0.73%
2025-05-23,369.51,391.51,392.19,367.31,21.45M,-7.50%
2025-05-22,399.46,413.2,426.32,398.91,16.51M,-0.80%
2025-05-21,402.69,415.92,423.34,395.53,18.70M,-3.41%
2025-05-20,416.92,413.5,417.85,406.1,11.53M,0.85%
2025-05-19,413.42,392.81,414.59,392.62,12.82M,3.41%
2025-05-16,399.8,399,406.9,389.01,12.46M,0.70%
2025-05-15,397.03,411.7,415.36,394.14,14.67M,-4.73%
2025-05-14,416.75,420.39,425.94,410.41,10.72M,-1.15%
2025-05-13,421.61,412.55,422.55,404.12,12.92M,4.13%
2025-05-12,404.9,420.92,422.04,400.83,16.25M,-2.68%
2025-05-09,416.03,420,430.35,406.22,17.16M,0.40%
2025-05-08,414.38,408.17,423.11,404.5,22.14M,5.58%
2025-05-07,392.48,393.8,396.35,388.26,10.61M,1.78%
2025-05-06,385.6,378.56,387.86,377.77,9.70M,-0.24%
2025-05-05,386.53,383.33,391.93,374.2,14.42M,-1.99%
2025-05-02,394.37,393.88,401.7,387.51,15.95M,3.35%
2025-05-01,381.6,392.29,403.9,381.03,16.94M,0.39%
2025-04-30,380.11,373.77,384,362.39,13.76M,-0.35%
2025-04-29,381.45,369.02,383.95,366.8,13.04M,3.30%
2025-04-28,369.25,373.29,373.66,354.53,11.49M,0.15%
2025-04-25,368.71,354,373.23,353.12,19.34M,5.24%
2025-04-24,350.34,344.97,351.03,343.24,10.78M,1.33%
2025-04-23,345.73,354.7,355.83,339,16.69M,0.79%
2025-04-22,343.03,328.7,348.96,327.01,24.04M,7.95%
2025-04-21,317.76,324.99,330.99,309,16.05M,0.18%
2025-04-17,317.2,313.89,320,306,13.51M,1.78%
2025-04-16,311.66,306.06,318.6,304,12.85M,0.30%
2025-04-15,310.72,312.22,319.75,306.81,11.22M,-0.23%
2025-04-14,311.45,309.8,314.6,300.1,15.64M,3.82%
2025-04-11,299.98,281.3,304.15,276.3,21.33M,10.15%
2025-04-10,272.34,282.5,288.31,261.37,19.24M,-8.26%
2025-04-09,296.86,242.01,302.34,241.69,38.35M,24.76%
2025-04-08,237.95,278.15,282.84,235.93,22.95M,-11.26%
2025-04-07,268.14,260.14,297.6,252.6,28.45M,-8.67%
2025-04-04,293.61,285.02,299.14,265.3,24.85M,4.01%
2025-04-03,282.28,286.75,299.22,276.03,18.22M,-9.68%
2025-04-02,312.54,297.86,319.47,296.98,16.29M,2.13%
2025-04-01,306.02,293.53,307.6,280.65,16.78M,6.16%
2025-03-31,288.27,281.87,294.89,272.8,14.87M,-0.39%
2025-03-28,289.41,318.38,320.8,289.25,21.06M,-10.84%
2025-03-27,324.59,322.53,333.49,318,13.84M,-1.43%
2025-03-26,329.31,336.5,340.34,319.73,16.80M,-3.66%
2025-03-25,341.81,333.48,343.59,329.5,15.05M,1.81%
2025-03-24,335.72,316.14,336.77,311.36,23.10M,10.43%
2025-03-21,304,295.7,306.39,293.05,21.77M,0.64%
2025-03-20,302.07,298.79,309.4,293.4,15.06M,-0.71%
2025-03-19,304.23,290.3,309.08,287.12,19.38M,7.43%
2025-03-18,283.19,283.2,290.99,272.5,15.40M,-3.77%
2025-03-17,294.27,292.15,296.81,281.6,13.00M,-1.08%
2025-03-14,297.49,273.99,298.7,272.62,23.71M,13.00%
2025-03-13,263.26,262,270.4,253.76,13.80M,0.27%
2025-03-12,262.55,264.6,269.77,248.22,14.33M,0.75%
2025-03-11,260.59,245,263.1,231.51,22.08M,8.91%
2025-03-10,239.27,268,272,231.62,31.48M,-16.68%
2025-03-07,287.18,298.14,310.44,281.44,22.76M,-5.57%
2025-03-06,304.11,298.95,320.94,292.17,25.31M,-1.44%
2025-03-05,308.55,278.3,311.28,271.77,26.20M,12.14%
2025-03-04,275.15,240.28,293.04,237.01,30.13M,9.66%
2025-03-03,250.92,293.15,295.1,246.1,30.58M,-1.77%
2025-02-28,255.43,238.32,257.5,231.92,22.66M,6.41%
2025-02-27,240.05,267.42,271.46,239.48,18.52M,-8.82%
2025-02-26,263.27,245.39,264.46,244.01,19.88M,5.09%
2025-02-25,250.51,268.1,270.29,243.7,31.38M,-11.41%
2025-02-24,282.76,304,304.04,276.39,17.97M,-5.65%
2025-02-21,299.69,327.93,329,299.04,17.93M,-7.48%
2025-02-20,323.92,323.73,327.83,314.95,12.29M,1.65%
2025-02-19,318.67,337.3,340.19,317.22,17.04M,-4.58%
2025-02-18,333.97,337.35,340.49,326.79,10.18M,-1.11%
2025-02-14,337.73,325.15,344.89,323.71,13.91M,3.94%
2025-02-13,324.92,325.5,330.59,317.35,9.85M,-0.58%
2025-02-12,326.82,315.96,331.17,314.19,9.84M,2.30%
2025-02-11,319.46,332.98,338.5,318.7,12.02M,-4.53%
2025-02-10,334.62,333.5,340.38,328.3,10.10M,2.16%
2025-02-07,327.56,335,344.4,327,15.05M,0.65%
2025-02-06,325.46,338.7,344.5,320.71,12.80M,-3.34%
2025-02-05,336.7,349,352.36,333.55,10.97M,-3.33%
2025-02-04,348.31,341.2,353.79,340.45,12.49M,0.35%
2025-02-03,347.09,310,348.85,308.9,18.21M,3.67%
2025-01-31,334.79,340.11,352.71,332,15.57M,-1.56%
2025-01-30,340.09,345.83,356.11,338.52,12.61M,-0.34%
2025-01-29,341.25,338.2,343.63,329.33,11.72M,1.58%
2025-01-28,335.93,344.68,348.92,333.09,11.46M,-3.45%
2025-01-27,347.92,340.5,356.88,322.3,21.22M,-1.63%
2025-01-24,353.67,377.67,378.11,351,22.94M,-5.21%
2025-01-23,373.12,371.75,390.2,370.7,23.31M,-1.11%
2025-01-22,377.31,384.91,390.35,371.05,16.00M,-3.03%
2025-01-21,389.1,395.45,404.42,367.76,26.22M,-1.87%
2025-01-17,396.5,383.28,398.68,380.15,24.34M,8.04%
2025-01-16,367,357.89,370.26,345.8,14.83M,1.77%
2025-01-15,360.62,357.81,368.42,353.01,19.94M,5.39%
2025-01-14,342.17,343,354.9,331.3,17.89M,4.19%
2025-01-13,328.4,309.95,329.6,303.8,15.91M,0.15%
2025-01-10,327.91,330.31,337,317.91,16.48M,-1.14%
2025-01-08,331.7,335.24,344.39,317.22,18.27M,-2.85%
2025-01-07,341.42,366.47,371.28,335.3,24.74M,-9.94%
2025-01-06,379.09,349.85,383.02,335.5,26.71M,11.61%
2025-01-03,339.66,303,343.4,301.77,25.04M,13.22%
